City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kafue,-15.7691,28.1814,26.81,60,100,2.3,ZM,1703401264
83,puerto armuelles,8.2833,-82.8667,26.72,72,98,0.45,PA,1703401448
84,duong dong,10.2167,103.9667,28.0,61,40,4.63,VN,1703401448
85,margaret river,-33.95,115.0667,24.73,46,0,5.91,AU,1703401131
86,tura,25.5198,90.2201,24.85,43,6,1.63,IN,1703401150
87,thabazimbi,-24.5917,27.4116,30.98,34,16,4.2,ZA,1703401449
88,constantia,44.1833,28.65,1.5,66,9,5.35,RO,1703401172
89,invercargill,-46.4,168.35,17.71,82,100,1.74,NZ,1703401165
90,kapa'a,22.0752,-159.319,24.18,82,100,8.23,US,1703400903
91,tadine,-21.55,167.8833,25.66,75,9,5.12,NC,1703401450
92,hermanus,-34.4187,19.2345,23.22,70,18,5.03,ZA,1703401143
93,ola,59.5833,151.2833,-15.91,94,74,4.82,RU,1703401179
94,ilulissat,69.2167,-51.1,-15.99,51,100,4.63,GL,1703401225
95,santos dumont,-21.4567,-43.5525,18.76,97,100,1.52,BR,1703401452
96,albany,42.6001,-73.9662,3.15,79,100,1.15,US,1703401192
97,termas de rio hondo,-27.4998,-64.8604,24.58,85,100,1.54,AR,1703401453
98,old saybrook,41.2918,-72.3762,6.13,86,0,0.0,US,1703401453
99,tynda,55.1667,124.7167,-24.84,97,95,0.87,RU,1703401389
100,college,64.8569,-147.8028,-6.82,85,75,1.54,US,1703401159
101,kruisfontein,-34.0033,24.7314,22.71,58,43,3.41,ZA,1703401140
102,rio verde de mato grosso,-18.9181,-54.8442,24.21,80,93,1.75,BR,1703401455
103,lorengau,-2.0226,147.2712,28.36,76,100,2.37,PG,1703401172
104,hawaiian paradise park,19.5933,-154.9731,21.13,94,75,2.06,US,1703401151
105,upata,8.0086,-62.3989,24.0,95,100,2.11,VE,1703401150
106,pohang,36.0322,129.365,2.76,49,28,4.84,KR,1703401456
107,oulmes,33.4258,-6.0014,4.39,40,0,1.43,MA,1703401456
108,lebu,-37.6167,-73.65,11.87,90,5,8.22,CL,1703401181
109,sao joao da barra,-21.6403,-41.0511,23.87,92,100,3.81,BR,1703401457
110,kalevala,65.2,31.1667,-0.51,98,100,4.02,RU,1703401458
111,kodiak,57.79,-152.4072,-0.27,80,100,12.86,US,1703401170
112,brezina,33.0989,1.2608,6.57,45,0,1.01,DZ,1703401459
113,la arena,-5.3466,-80.7109,22.87,73,53,4.63,PE,1703401459
114,klyuchi,52.2667,79.1667,-5.48,86,85,2.91,RU,1703401153
115,honaz,37.7573,29.27,4.93,52,0,1.61,TR,1703401460
116,port lincoln,-34.7333,135.8667,17.11,63,3,9.29,AU,1703401182
117,ribeira grande,38.5167,-28.7,16.98,68,100,6.56,PT,1703401167
118,udachny,66.4167,112.4,-25.85,100,99,0.73,RU,1703401377
119,sur,22.5667,59.5289,24.09,60,0,1.89,OM,1703401461
120,liman,48.9884,37.8023,-1.33,83,99,6.13,UA,1703401461
121,leninskoye,41.7589,69.3864,13.42,43,100,2.94,KZ,1703401462
122,keflavik,64.0049,-22.5624,-4.05,74,75,9.77,IS,1703401141
123,nichinan,31.6,131.3667,11.82,50,72,3.21,JP,1703401462
124,soure,-0.7167,-48.5233,27.71,76,100,5.56,BR,1703401463
125,kurchum,48.5722,83.6542,-4.5,77,99,0.89,KZ,1703401463
126,coahuayana de hidalgo,18.7,-103.6583,22.29,92,37,1.61,MX,1703401171
127,iqaluit,63.7506,-68.5145,-10.15,73,100,0.0,CA,1703401140
128,blackfoot,43.1905,-112.345,-3.55,95,75,2.53,US,1703401464
129,ketchikan,55.3422,-131.6461,7.26,81,100,12.35,US,1703401464
130,tolanaro,-25.0319,46.9987,28.04,54,40,5.14,MG,1703401172
131,motueka,-41.1333,173.0167,19.44,95,100,3.12,NZ,1703401257
132,greymouth,-42.4667,171.2,18.31,96,100,4.92,NZ,1703401465
133,puerto natales,-51.7236,-72.4875,8.82,85,100,4.29,CL,1703401133
134,laguna,38.421,-121.4238,8.94,93,100,0.0,US,1703401228
135,homberg,51.0333,9.4,9.12,87,100,8.23,DE,1703401466
136,vilyuchinsk,52.9306,158.4028,-12.82,67,100,4.31,RU,1703401144
137,bima,-8.4667,118.7167,30.89,69,100,1.73,ID,1703401467
138,iskateley,67.6803,53.1512,-8.32,87,99,5.36,RU,1703401143
139,taltal,-25.4,-70.4833,17.19,81,73,0.62,CL,1703401274
140,dunedin,-45.8742,170.5036,19.25,83,100,4.01,NZ,1703401183
141,riverside,33.7333,-116.0508,11.44,90,0,1.54,US,1703400731
142,jose pedro varela,-33.45,-54.5333,16.71,84,100,1.25,UY,1703401468
143,portstewart,55.1813,-6.714,11.11,86,100,13.24,GB,1703401468
144,tazovsky,67.4667,78.7,-13.39,97,100,2.48,RU,1703401159
145,hami,42.8,93.45,-4.24,49,7,1.39,CN,1703401469
146,fort bragg,35.139,-79.006,6.56,81,75,0.0,US,1703401396
147,port augusta,-32.5,137.7667,22.27,36,5,11.89,AU,1703401469
148,ginir,7.1333,40.7,20.74,50,60,2.77,ET,1703401470
149,abepura,-2.6333,140.5833,30.45,58,20,3.09,ID,1703401470
150,papatowai,-46.5619,169.4708,18.69,80,100,3.09,NZ,1703401471
151,mamadysh,55.7152,51.408,-1.4,93,100,3.54,RU,1703401471
152,bredasdorp,-34.5322,20.0403,22.82,62,51,5.4,ZA,1703401145
153,nova sintra,14.8667,-24.7167,20.34,66,95,4.57,CV,1703401131
154,alpine,32.835,-116.7664,10.67,93,40,0.0,US,1703401472
155,grand falls-windsor,48.9332,-55.6649,-3.61,88,100,1.34,CA,1703401472
156,yurty,56.0498,97.6348,-4.01,93,100,3.47,RU,1703401472
157,malpe,13.35,74.7167,31.61,34,80,1.75,IN,1703401473
158,ar ruways,24.1103,52.7306,24.16,36,100,1.77,AE,1703401473
159,west plains,36.7281,-91.8524,14.46,87,100,3.6,US,1703401473
